Year,Municipality,PropertyClass,Rate,Province
2021.0,AIRDRIE,NonResidential,0.01371478,AB
2021.0,AIRDRIE,Residential,0.007443729999999999,AB
2021.0,AIRDRIE,Farm,0.007443729999999999,AB
2021.0,BEAUMONT,NonResidential,0.01370735,AB
2021.0,BEAUMONT,Residential,0.00972284,AB
2021.0,BEAUMONT,Farm,0.00972284,AB
2021.0,BROOKS,NonResidential,0.015958807999999998,AB
2021.0,BROOKS,Residential,0.010997755000000001,AB
2021.0,BROOKS,Farm,0.010997755000000001,AB
2021.0,CALGARY,NonResidential,0.020607600000000004,AB
2021.0,CALGARY,Residential,0.0074068,AB
2021.0,CALGARY,Farm,0.017014,AB
2021.0,CAMROSE,NonResidential,0.0170315,AB
2021.0,CAMROSE,Residential,0.011501100000000002,AB
2021.0,CAMROSE,Farm,0.011501100000000002,AB
2021.0,CHESTERMERE,NonResidential,0.010898122,AB
2021.0,CHESTERMERE,Residential,0.007674734000000001,AB
2021.0,CHESTERMERE,Farm,0.007674734000000001,AB
2021.0,COLD LAKE,NonResidential,0.0165961,AB
2021.0,COLD LAKE,Residential,0.011659399999999999,AB
2021.0,COLD LAKE,Farm,0.011659399999999999,AB
2021.0,EDMONTON,NonResidential,0.0240789,AB
2021.0,EDMONTON,Residential,0.009503900000000001,AB
2021.0,EDMONTON,Farm,0.009503900000000001,AB
2021.0,FORT SASKATCHEWAN,NonResidential,0.013977113999999999,AB
2021.0,FORT SASKATCHEWAN,Residential,0.00838205,AB
2021.0,FORT SASKATCHEWAN,Farm,0.00838205,AB
2021.0,GRANDE PRAIRIE,NonResidential,0.021084000000000002,AB
2021.0,GRANDE PRAIRIE,Residential,0.012445,AB
2021.0,GRANDE PRAIRIE,Farm,0.012445,AB
2021.0,LACOMBE,NonResidential,0.013116700000000002,AB
2021.0,LACOMBE,Residential,0.010828999999999998,AB
2021.0,LACOMBE,Farm,0.011964100000000002,AB
2021.0,LEDUC,NonResidential,0.012626,AB
2021.0,LEDUC,Residential,0.01021,AB
2021.0,LEDUC,Farm,0.011157,AB
2021.0,LETHBRIDGE,NonResidential,0.0252902,AB
2021.0,LETHBRIDGE,Residential,0.011315500000000001,AB
2021.0,LETHBRIDGE,Farm,0.011315500000000001,AB
2021.0,LLOYDMINSTER,NonResidential,0.0163608,AB
2021.0,LLOYDMINSTER,Residential,0.009831200000000002,AB
2021.0,LLOYDMINSTER,Farm,0.009831200000000002,AB
2021.0,MEDICINE HAT,NonResidential,0.0190274,AB
2021.0,MEDICINE HAT,Residential,0.009349900000000001,AB
2021.0,MEDICINE HAT,Farm,0.0190274,AB
2021.0,RED DEER,NonResidential,0.0187241,AB
2021.0,RED DEER,Residential,0.0099182,AB
2021.0,RED DEER,Farm,0.011928600000000001,AB
2021.0,SPRUCE GROVE,NonResidential,0.0133261,AB
2021.0,SPRUCE GROVE,Residential,0.009397800000000001,AB
2021.0,SPRUCE GROVE,Farm,0.009397800000000001,AB
2021.0,ST. ALBERT,NonResidential,0.01542296,AB
2021.0,ST. ALBERT,Residential,0.01108667,AB
2021.0,ST. ALBERT,Farm,0.01108667,AB
2021.0,WETASKIWIN,NonResidential,0.0230555,AB
2021.0,WETASKIWIN,Residential,0.0122186,AB
2021.0,WETASKIWIN,Farm,0.0122186,AB
2021.0,"CROWSNEST PASS, MUNICIPALITY OF",NonResidential,0.021231800000000002,AB
2021.0,"CROWSNEST PASS, MUNICIPALITY OF",Residential,0.0102015,AB
2021.0,"CROWSNEST PASS, MUNICIPALITY OF",Farm,0.0102015,AB
2021.0,"JASPER, MUNICIPALITY OF",NonResidential,0.015576,AB
2021.0,"JASPER, MUNICIPALITY OF",Residential,0.004873000000000001,AB
2021.0,"JASPER, MUNICIPALITY OF",Farm,0.004873000000000001,AB
2021.0,LAC LA BICHE COUNTY,NonResidential,0.0221398,AB
2021.0,LAC LA BICHE COUNTY,Residential,0.0056957,AB
2021.0,LAC LA BICHE COUNTY,Farm,0.0056957,AB
2021.0,MACKENZIE COUNTY,NonResidential,0.016522,AB
2021.0,MACKENZIE COUNTY,Residential,0.009488,AB
