Year,Municipality,PropertyClass,Rate,Province
2021,Addington Highlands Tp,Residential,0.01258162,ON
2021,Addington Highlands Tp,Farmland,0.00314541,ON
2021,Addington Highlands Tp,Commercial,0.0244653,ON
2021,Addington Highlands Tp,Industrial,0.03278201,ON
2021,Adelaide-Metcalfe Tp,Residential,0.01246997,ON
2021,Adelaide-Metcalfe Tp,Farmland,0.00311749,ON
2021,Adelaide-Metcalfe Tp,Commercial,0.02132517,ON
2021,Adelaide-Metcalfe Tp,Industrial,0.02789134,ON
2021,Adjala-Tosorontio Tp,Residential,0.00706161,ON
2021,Adjala-Tosorontio Tp,Farmland,0.00176541,ON
2021,Adjala-Tosorontio Tp,Commercial,0.01556129,ON
2021,Adjala-Tosorontio Tp,Industrial,0.01539645,ON
2021,Admaston-Bromley Tp,Residential,0.01179454,ON
2021,Admaston-Bromley Tp,Farmland,0.00294863,ON
2021,Admaston-Bromley Tp,Commercial,0.02742705,ON
2021,Admaston-Bromley Tp,Industrial,0.03698861,ON
2021,Ajax T,Residential,0.00995684,ON
2021,Ajax T,Farmland,0.00206787,ON
2021,Ajax T,Commercial,0.02101891,ON
2021,Ajax T,Industrial,0.02585171,ON
2021,Alberton Tp,Residential,0.01027521,ON
2021,Alberton Tp,Farmland,0.0025688,ON
2021,Alberton Tp,Commercial,0.01822296,ON
2021,Alberton Tp,Industrial,0.01778658,ON
2021,Alfred and Plantagenet Tp,Residential,0.01247105,ON
2021,Alfred and Plantagenet Tp,Farmland,0.00311776,ON
2021,Alfred and Plantagenet Tp,Commercial,0.02456604,ON
2021,Alfred and Plantagenet Tp,Industrial,0.03557156,ON
2021,Algonquin Highlands Tp,Residential,0.00709362,ON
2021,Algonquin Highlands Tp,Farmland,0.00177341,ON
2021,Algonquin Highlands Tp,Commercial,0.01704918,ON
2021,Algonquin Highlands Tp,Industrial,0.01835885,ON
2021,Alnwick-Haldimand Tp,Residential,0.01178102,ON
2021,Alnwick-Haldimand Tp,Farmland,0.00294525,ON
2021,Alnwick-Haldimand Tp,Commercial,0.02417653,ON
2021,Alnwick-Haldimand Tp,Industrial,0.03032714,ON
2021,Amaranth Tp,Residential,0.01056278,ON
2021,Amaranth Tp,Farmland,0.00236971,ON
2021,Amaranth Tp,Commercial,0.01982,ON
2021,Amaranth Tp,Industrial,0.02865767,ON
2021,Amherstburg T,Residential,0.01595476,ON
2021,Amherstburg T,Farmland,0.00398868,ON
2021,Amherstburg T,Commercial,0.02440823,ON
2021,Amherstburg T,Industrial,0.0368201,ON
2021,Armour Tp,Residential,0.00923773,ON
2021,Armour Tp,Farmland,0.00230943,ON
2021,Armour Tp,Commercial,0.01495159,ON
2021,Armour Tp,Industrial,0.01174573,ON
2021,Armstrong Tp,Residential,0.01129433,ON
2021,Armstrong Tp,Farmland,0.00282358,ON
2021,Armstrong Tp,Commercial,0.02411224,ON
2021,Armstrong Tp,Industrial,0.02759366,ON
2021,Arnprior T,Residential,0.01414711,ON
2021,Arnprior T,Farmland,0.00353678,ON
2021,Arnprior T,Commercial,0.03169627,ON
2021,Arnprior T,Industrial,0.04447985,ON
2021,Ashfield-Colborne-Wawanosh Tp,Residential,0.01032568,ON
2021,Ashfield-Colborne-Wawanosh Tp,Farmland,0.00258142,ON
2021,Ashfield-Colborne-Wawanosh Tp,Commercial,0.01847524,ON
2021,Ashfield-Colborne-Wawanosh Tp,Industrial,0.01847524,ON
2021,Asphodel-Norwood Tp,Residential,0.01189087,ON
2021,Asphodel-Norwood Tp,Farmland,0.00297272,ON
2021,Asphodel-Norwood Tp,Commercial,0.02018245,ON
2021,Asphodel-Norwood Tp,Industrial,0.02478889,ON
2021,Assiginack Tp,Residential,0.01667052,ON
2021,Assiginack Tp,Farmland,0.00416763,ON
2021,Assiginack Tp,Commercial,0.02280932,ON
2021,Assiginack Tp,Industrial,0.01842128,ON
2021,Athens Tp,Residential,0.00949435,ON
2021,Athens Tp,Farmland,0.00237359,ON
2021,Athens Tp,Commercial,0.01952321,ON
2021,Athens Tp,Industrial,0.02322663,ON
2021,Augusta Tp,Residential,0.01146114,ON
2021,Augusta Tp,Farmland,0.00286529,ON
2021,Augusta Tp,Commercial,0.02217129,ON
2021,Augusta Tp,Industrial,0.02678927,ON
2021,Aurora T,Residential,0.00762133,ON
2021,Aurora T,Farmland,0.00190533,ON
2021,Aurora T,Commercial,0.01691426,ON
2021,Aurora T,Industrial,0.01880927,ON
2021,Aylmer T,Residential,0.01617132,ON
2021,Aylmer T,Farmland,0.00375001,ON
2021,Aylmer T,Commercial,0.03277663,ON
2021,Aylmer T,Industrial,0.04137841,ON
2021,Baldwin Tp,Residential,0.01242155,ON
2021,Baldwin Tp,Farmland,0.00310539,ON
2021,Baldwin Tp,Commercial,0.02218754,ON
2021,Baldwin Tp,Industrial,0.02078074,ON
2021,Barrie C,Residential,0.01218959,ON
2021,Barrie C,Farmland,0.0030474,ON
2021,Barrie C,Commercial,0.02407654,ON
2021,Barrie C,Industrial,0.02496343,ON
2021,Bayham M,Residential,0.01439866,ON
2021,Bayham M,Farmland,0.0033423,ON
2021,Bayham M,Commercial,0.02987372,ON
2021,Bayham M,Industrial,0.04113405,ON
2021,Beckwith Tp,Residential,0.00822802,ON
2021,Beckwith Tp,Farmland,0.00205701,ON
2021,Beckwith Tp,Commercial,0.02114397,ON
2021,Beckwith Tp,Industrial,0.02575695,ON
2021,Belleville C,Residential,0.01089036,ON
2021,Belleville C,Farmland,0.00272259,ON
2021,Belleville C,Commercial,0.02676367,ON
